companyName,filingDate,tableMineralArray,auditors,filingUrl,cik,accessionNo
"Tesla, Inc. (TSLA) (CIK 0001318605)",2024-05-31,"['Tin', 'Gold']","['Responsible Minerals Initiative', 'RMI', 'Responsible Business Alliance', 'RBA']",https://www.sec.gov/Archives/edgar/data/1318605/000110465924067119/tm2415702d1_ex1-01.htm,1318605,0001104659-24-067119
"Tesla, Inc. (TSLA) (CIK 0001318605)",2024-05-31,['no table metals found'],['no auditors found'],https://www.sec.gov/Archives/edgar/data/1318605/000110465924067119/tm2415702d1_sd.htm,1318605,0001104659-24-067119
Vizio Holding Corp. (VZIO) (CIK 0001835591),2024-05-31,['no table metals found'],"['Responsible Minerals Initiative', 'RMI', 'Responsible Business Alliance']",https://www.sec.gov/Archives/edgar/data/1835591/000183559124000046/formsd2024.htm,1835591,0001835591-24-000046
